"Time","id","nodes","nr"
1592601273000,172.23.0.11,,0
1592601278000,172.23.0.11,,0
1592601283000,172.23.0.11,,0
1592601288000,172.23.0.11,,0
1592601294000,172.23.0.11,,0
1592601299000,172.23.0.11,,0
1592601304000,172.23.0.11,,0
1592601309000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601314000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601319000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601324000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601330000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601335000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601340000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601345000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601350000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601355000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601361000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601366000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601371000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601376000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601381000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601386000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601391000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601397000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601402000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601407000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601412000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601417000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601422000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601428000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601433000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601438000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601443000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601448000,172.23.0.11,if:e4bef71e86d14 if:56fee6fecf0218 and:8c00d399cfdc1 mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:7c47d87bac4d7 and:9af99ac5d0794 if:dc05b19b0e5ae and:4584aee1c925e8,9
1592601453000,172.23.0.11,if:e4bef71e86d14 if:8d5d87af193fa8 and:4d449d460fc95c and:de0bb495f440c mqttout:7a562e5cb95e48 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:6304e2c4bb4f0c and:9af99ac5d0794 if:baaf4db9ddc968 if:d72e652c2c4d4 and:51de8c31aac5cc,12
1592601458000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601464000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601469000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:56fee6fecf0218 and:4d449d460fc95c and:8c00d399cfdc1 mqttout:7c9b556febe29c mqttout:7a562e5cb95e48 mqttout:4a0b480453aa08 if:7eaa0b412a52f4 if:4adfd20075b1a8 if:7c47d87bac4d7 and:23a64e3d1fa8b2 and:9af99ac5d0794 if:73f641b5838de if:dc05b19b0e5ae if:d72e652c2c4d4 and:4584aee1c925e8 and:7b46e632abb828,18
1592601474000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:8d0f6b7cc52f18 and:8c00d399cfdc1 and:4da9751a0ddf6c mqttout:4a0b480453aa08 if:2911d9d2a3770e if:7c47d87bac4d7 and:a0aacb25d54e48 if:baaf4db9ddc968 if:7d8474b7480aa4 and:4584aee1c925e8,12
1592601479000,172.23.0.11,if:e4bef71e86d14 if:595a4998fa103 if:8d0f6b7cc52f18 and:8c00d399cfdc1 and:4da9751a0ddf6c mqttout:4a0b480453aa08 if:2911d9d2a3770e if:7c47d87bac4d7 and:a0aacb25d54e48 if:baaf4db9ddc968 if:7d8474b7480aa4 and:4584aee1c925e8,12
