Time,192.168.1.179,192.168.1.200,192.168.1.206,192.168.1.207
1592521750000,0,,,
1592521756000,0,,,
1592521761000,0,,,
1592521767000,0,,,
1592521773000,9,,,
1592521779000,9,,,
1592521784000,9,,,
1592521790000,9,,,
1592521795000,9,,,
1592521800000,9,,,
1592521806000,9,,,
1592521811000,9,,,
1592521817000,9,,,
1592521822000,9,,,
1592521828000,9,,,
1592521833000,9,,,
1592521839000,9,,,
1592521844000,12,,,
1592521850000,12,,,
1592521855000,12,,,
1592521860000,12,,,
1592521866000,12,,,
1592521872000,12,,,
1592521877000,12,,,
1592521882000,12,,,
1592521887000,12,,,
1592521894000,12,,,
1592521900000,18,,,
1592521905000,18,,,
1592521911000,18,,,
1592521916000,18,,,
1592521759000,,0,,
1592521764000,,0,,
1592521770000,,0,,
1592521775000,,9,,
1592521780000,,9,,
1592521786000,,9,,
1592521791000,,9,,
1592521798000,,9,,
1592521802000,,9,,
1592521808000,,9,,
1592521813000,,9,,
1592521819000,,9,,
1592521824000,,9,,
1592521830000,,9,,
1592521835000,,9,,
1592521841000,,12,,
1592521846000,,12,,
1592521852000,,12,,
1592521857000,,12,,
1592521863000,,12,,
1592521868000,,12,,
1592521874000,,12,,
1592521879000,,12,,
1592521884000,,12,,
1592521890000,,12,,
1592521895000,,12,,
1592521900000,,18,,
1592521906000,,18,,
1592521911000,,18,,
1592521917000,,18,,
1592521922000,,18,,
1592521928000,,18,,
1592521933000,,18,,
1592521939000,,18,,
1592521944000,,18,,
1592521949000,,18,,
1592521956000,,0,,
1592521963000,,0,,
1592521969000,,0,,
1592521974000,,0,,
1592521980000,,0,,
1592521985000,,0,,
1592521991000,,0,,
1592521997000,,0,,
1592522001000,,0,,
1592522007000,,0,,
1592522012000,,0,,
1592522017000,,0,,
1592521760000,,,0,
1592521765000,,,0,
1592521771000,,,0,
1592521776000,,,9,
1592521782000,,,9,
1592521787000,,,9,
1592521792000,,,9,
1592521798000,,,9,
1592521804000,,,9,
1592521809000,,,9,
1592521814000,,,9,
1592521820000,,,9,
1592521825000,,,9,
1592521831000,,,9,
1592521836000,,,9,
1592521842000,,,12,
1592521847000,,,12,
1592521852000,,,12,
1592521858000,,,12,
1592521759000,,,,0
1592521765000,,,,0
1592521770000,,,,0
1592521776000,,,,9
1592521781000,,,,9
1592521787000,,,,9
1592521792000,,,,9
1592521797000,,,,9
